Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Monterrey challenger|1.17|4.71|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|Krstin P.|Serbia|2011|80.0|183.0|right|29.0|hard|20220307
Santiago challenger|1.01|17.64|Olivo R.|Argentina|2007|73.0|180.0|right|32.0|Becerra Otarola I.|Chile|2017|||right|23.0|clay|20220307
Santiago challenger|1.51|2.42|Kicker N.|Argentina|2009|75.0|178.0|right|32.0|Mena F.|Argentina|2008|78.0|183.0|right|31.0|clay|20220307
Santiago challenger|1.13|5.36|Londero J.|Argentina|2008|70.0|180.0|right|31.0|Collarini A.|Argentina|2007|80.0|185.0|left|32.0|clay|20220307
Santiago challenger|3.40|1.29|Oliveira G.|Venezuela|2010|79.0|185.0|left|29.0|Rodriguez Taverna S.|Argentina|2014|82.0|191.0|right|25.0|clay|20220307
Santiago challenger|1.37|2.94|Pucinelli De Almeida M.|Brazil|2017|||right|23.0|Olivieri G.|Argentina|2014|73.0|175.0|right|26.0|clay|20220307
Roseto Degli Abruzzi chall.|1.18|4.43|Taberner C.|Spain|2013|78.0|183.0|right|27.0|Giustino L.|Italy|2006|83.0|180.0|right|32.0|clay|20220307
Roseto Degli Abruzzi chall.|1.45|2.56|Milojevic N.|Serbia|2011|76.0|188.0|right|29.0|Pellegrino A.|Italy|2012|81.0|185.0|right|27.0|clay|20220307
Roseto Degli Abruzzi chall.|1.59|2.27|Serdarusic N.|Croatia|2011|85.0|191.0|right|27.0|Gaio F.|Italy|2008|84.0|180.0|right|32.0|clay|20220307
Roseto Degli Abruzzi chall.|1.59|2.27|Puttergill C.|Australia|2011|78.0|183.0|right|30.0|Camus C.|France|2021|||left|17.0|clay|20220307
Roseto Degli Abruzzi chall.|1.15|4.43|Tokuda R.|Japan|2013|69.0|178.0|right|26.0|Crnokrak A.|Australia|2015|83.0|191.0|right|24.0|clay|20220307
Roseto Degli Abruzzi chall.|1.85|1.80|McCabe J.|Australia|2020|||right|21.0|Fajta P.|Hungary|2018|||right|22.0|clay|20220307
Roseto Degli Abruzzi chall.|2.03|1.69|Blancaneaux G.|France|2014|75.0|180.0|right|26.0|Hijikata R.|Australia|2016|68.0|178.0|right|23.0|clay|20220307
UTR Pro Match Series|1.22|3.80|Moreno A.|Mexico|2007|||right|34.0|Mayew W.|USA|2022|||right|20.0|Varioussurfaces|20220307
UTR Pro Match Series|2.10|1.67|Hoyoung R.|SouthKorea|2022|||right|18.0|Barton J.|USA|2021|||right|22.0|Varioussurfaces|20220307
UTR Pro Match Series|6.00|1.09|Lee E.|USA|2022|||right||Sysoev N.|Russia|2019|||right||Varioussurfaces|20220307
