Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Gran Canaria challenger|1.17|4.60|Carballes Baena R.|Spain|2009|77.0|183.0|right|31.0|Darderi L.|Italy|2019|||right|22.0|clay|20220301
Gran Canaria challenger|3.03|1.35|Oliveira G.|Venezuela|2010|79.0|185.0|left|29.0|Bourgue M.|France|2010|83.0|188.0|right|30.0|clay|20220301
Gran Canaria challenger|1.21|4.12|Caruso S.|Italy|2008|80.0|185.0|right|31.0|Lopez Montagud C.|Spain|2015|||right|24.0|clay|20220301
Gran Canaria challenger|1.22|4.00|Mager G.|Italy|2010|77.0|188.0|right|29.0|Toledo Bague P.|Spain|2010|72.0|178.0|right|29.0|clay|20220301
Gran Canaria challenger|2.20|1.63|Rosol L.|CzechRepublic|2002|83.0|193.0|right|39.0|Giannessi A.|Italy|2006|82.0|185.0|left|34.0|clay|20220301
Gran Canaria challenger|2.21|1.63|Gimeno Valero C.|Spain|2016|80.0|188.0|right|23.0|Skatov T.|Kazakhstan|2016|73.0|173.0|right|23.0|clay|20220301
Gran Canaria challenger|1.76|2.00|Nikles J.|Switzerland|2013|68.0|170.0|right|27.0|Gaio F.|Italy|2008|84.0|180.0|right|32.0|clay|20220301
Gran Canaria challenger|2.34|1.54|Martin Tiffon P.|Spain|2016|73.0|183.0|right|25.0|Zekic M.|Serbia|2003|79.0|185.0|right|36.0|clay|20220301
Gran Canaria challenger|1.55|2.35|Sanchez Izquierdo N.|Spain|2015|77.0|185.0|right|25.0|Giustino L.|Italy|2006|83.0|180.0|right|32.0|clay|20220301
Gran Canaria challenger|1.25|3.71|Ajdukovic D.|Croatia|2015|75.0|185.0|right|23.0|Damas M.|Spain|2015|||right|24.0|clay|20220301
Gran Canaria challenger|1.75|1.98|Barranco Cosano J.|Spain|2014|72.0|175.0|left|25.0|Roca Batalla O.|Spain|2008|75.0|173.0|right|31.0|clay|20220301
Gran Canaria challenger|1.16|4.87|Bonadio R.|Italy|2009|81.0|180.0|right|31.0|Perchicot M.|France|2014|85.0|185.0|right|31.0|clay|20220301
Turin challenger|1.16|4.87|Blanch U.|USA|2014|78.0|188.0|right|26.0|Eysseric J.|France|2004|80.0|180.0|left|34.0|clay|20220301
Turin challenger|2.65|1.45|Peniston R.|GreatBritain|2012|75.0|183.0|left|28.0|Marterer M.|Germany|2011|84.0|191.0|left|29.0|clay|20220301
Turin challenger|1.25|3.73|Van Rijthoven T.|Netherlands|2013|89.0|188.0|right|27.0|Kamke T.|Germany|2003|76.0|178.0|right|38.0|clay|20220301
Turin challenger|2.85|1.40|Jianu F.|Romania|2016|70.0|180.0|right|22.0|Nardi L.|Italy|2018|||right|21.0|clay|20220301
Turin challenger|1.50|2.48|Escoffier A.|France|2008|78.0|185.0|right|32.0|Lenz J.|Germany|2009|82.0|188.0|right|31.0|clay|20220301
Turin challenger|1.95|1.80|Moraing M.|Germany|2008|84.0|198.0|left|32.0|Guinard M.|France|2013|81.0|196.0|right|28.0|clay|20220301
Turin challenger|1.52|2.44|Brouwer G.|Netherlands|2013|72.0|191.0|left|28.0|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|clay|20220301
Turin challenger|1.47|2.47|Whitehouse M.|GreatBritain|2010|80.0|188.0|right|31.0|Rodriguez Rodriguez J.|Colombia|2019|||right|20.0|clay|20220301
Turin challenger|1.03|9.05|Kuzuhara B.|USA|2021|||right|20.0|Baquero D.|DominicanRep.|2021|||right||clay|20220301
Turin challenger|1.18|4.04|Sekulic P.|Australia|2018|||right|20.0|Niki T.|Japan|2005|73.0|183.0|right|36.0|clay|20220301
Turin challenger|2.98|1.31|Walkin B.|GreatBritain|2013|85.0|188.0|right|30.0|Vanshelboim E.|Ukraine|2018|86.0|188.0|right|23.0|clay|20220301
Turin challenger|2.35|1.52|Folliot Q.|France|2015|||right|25.0|Pichler D.|Austria|2013|70.0|178.0|right|28.0|clay|20220301
Turin challenger|1.71|1.98|Saitoh K.|Japan|2019|68.0|163.0|left|23.0|Romios M.|Australia|2014|73.0|183.0|right|25.0|clay|20220301
Turin challenger|1.00|12.20|Crawford O.|GreatBritain|2016|84.0|180.0|right|25.0|Munoz E.|DominicanRep.|2019|||right|19.0|clay|20220301
Turin challenger|1.93|1.76|Angele J.|France|2015|93.0|206.0|right|24.0|Langmo C.|USA|2013|84.0|191.0|right|28.0|clay|20220301
Turin challenger|1.03|9.10|Jasika O.|Australia|2011|60.0|183.0|left|27.0|Bataljin L.|Australia|2011|53.0|168.0|right|28.0|clay|20220301
Turin challenger|1.47|2.47|Tokuda R.|Japan|2013|69.0|178.0|right|26.0|Addison A.|Australia|2012|82.0|191.0|right|28.0|clay|20220301
Turin challenger|2.01|1.72|Guerrieri A.|Italy|2015|||left|25.0|Bosio G.|Italy|2016|||right|23.0|clay|20220301
Turin challenger|1.84|1.84|Tabacco G.|Italy|2018|||right|21.0|Rottoli L.|Italy|2016|||right|22.0|clay|20220301
Turin challenger|1.95|1.76|Tabur C.|France|2015|70.0|170.0|right|24.0|Ehrat S.|Switzerland|2007|72.0|180.0|right|33.0|clay|20220301
